"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 21:00","2025","06","02","21:00","","12.1","","9.0","","81","","0.0","","21","","23","","","","101.17","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 22:00","2025","06","02","22:00","","11.6","","9.3","","86","","0.0","","21","","20","","","","101.23","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-02 23:00","2025","06","02","23:00","","11.8","","9.5","","86","","0.0","","21","","17","","","","101.28","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 00:00","2025","06","03","00:00","","12.1","","9.1","","81","","0.0","","22","","33","","","","101.30","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 01:00","2025","06","03","01:00","","11.5","","8.9","","84","","0.0","","22","","33","","","","101.30","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 02:00","2025","06","03","02:00","","10.6","","8.8","","89","","0.0","","22","","30","","","","101.34","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 03:00","2025","06","03","03:00","","10.6","","8.9","","89","","0.0","","22","","30","","","","101.37","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 04:00","2025","06","03","04:00","","10.3","","8.8","","90","","0.0","","22","","28","","","","101.43","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 05:00","2025","06","03","05:00","","10.3","","8.7","","90","","0.0","","22","","24","","","","101.49","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 06:00","2025","06","03","06:00","","10.4","","8.6","","88","","0.0","","22","","27","","","","101.54","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 07:00","2025","06","03","07:00","","10.8","","8.8","","87","","0.0","","22","","27","","","","101.58","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 08:00","2025","06","03","08:00","","11.3","","8.8","","85","","0.0","","22","","28","","","","101.65","","","","","","NA"
"-64.00","47.06","NORTH CAPE","8300516","2025-06-03 09:00","2025","06","03","09:00","","12.1","","9.5","","84","","0.0","","22","","23","","","","101.71","","","","","","NA"
